,Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Popularity,BS,IGS,Club,League,Country,Height(cm),Weight(kg),Body Type
102,Darwin Núñez,96,ST,ShowDown SBC,149000.0,5,4,H \ L,98,96,91,95,59,98,1115,537,2574,Liverpool,Premier League,Uruguay,187,80, High & Average
104,Renato Sanches,96,CM,Player Moments SBC,1000000.0,5,4,H \ H,96,91,94,98,89,95,2510,563,2680,Paris SG,Ligue 1,Portugal,176,70, Average
105,Diego Carlos,96,CB,Player Moments SBC,715000.0,3,4,M \ H,91,57,82,85,97,98,784,510,2410,Aston Villa,Premier League,Brazil,185,86, High & Stocky
106,Alex Nicolao Telles,96,LB,ShowDown SBC,2300000.0,4,4,H \ M,97,84,98,92,92,90,600,553,2669,Sevilla FC,LaLiga Santander,Brazil,181,71, Unique
109,Diego Maradona,95,CAM,Icon,81000.0,5,3,H \ M,88,91,90,95,42,75,983,481,2357,FUT 22 ICONS,Icons,Argentina,165,72, Maradona
110,Pelé,95,CF,Icon,46000.0,5,4,H \ M,96,93,90,95,56,75,1237,505,2452,FUT 22 ICONS,Icons,Brazil,173,69, Unique
111,Marquinhos,95,CB,TOTY,27000.0,3,3,M \ H,90,61,85,86,97,90,248,509,2382,Paris SG,Ligue 1,Brazil,183,75, Average
112,Gareth Bale,95,ST,UCL Live,14000.0,4,4,M \ M,99,96,94,94,66,94,4000,543,2611,Real Madrid,LaLiga Santander,Wales,185,82, Unique
113,Ferenc Puskás,95,ST,Icon,56500.0,5,4,H \ M,93,98,93,96,47,78,4414,505,2457,FUT 22 ICONS,Icons,Hungary,172,75, Stocky
114,Garrincha,95,RW,Icon Moments,25000.0,5,4,H \ L,92,89,96,97,42,73,1342,489,2374,FUT 22 ICONS,Icons,Brazil,169,72, Short & Lean
115,Paolo Maldini,95,CB,Icon Moments,15000.0,2,4,M \ H,87,65,77,70,98,85,2035,482,2232,FUT 22 ICONS,Icons,Italy,186,83, Average
116,Lev Yashin,95,GK,Icon Moments,88000.0,1,3,M \ M,98,90,76,99,62,98,736,523,1339,FUT 22 ICONS,Icons,Russia,189,82, High & Average+
117,Ronaldinho,95,LW,Icon Moments,14000.0,5,4,H \ L,94,93,92,98,39,82,2188,498,2396,FUT 22 ICONS,Icons,Brazil,180,78, Ronaldinho
119,Marcus Rashford,95,LM,Fantasy,13250.0,5,4,H \ M,99,94,90,92,52,89,853,516,2454,Manchester Utd,Premier League,England,186,70, Unique
120,Allan Saint-Maximin,95,ST,Fantasy,47000.0,5,4,H \ L,99,93,89,98,33,84,3350,496,2358,Newcastle Utd,Premier League,France,173,67, Stocky
121,Ousmane Dembélé,95,ST,Fantasy,12000.0,5,5,H \ M,99,93,90,97,45,75,1972,499,2392,FC Barcelona,LaLiga Santander,France,178,67, Unique
122,Ryan Gravenberch,95,CM,TOTS,13000.0,4,4,M \ M,94,90,93,95,88,90,1613,550,2581,Ajax,Eredivisie,Netherlands,190,79, High & Average+
124,João Cancelo,95,LB,TOTS,17000.0,4,5,H \ H,96,86,92,94,92,91,3158,551,2612,Manchester City,Premier League,Portugal,182,74, Unique
125,Rúben Dias,95,CB,TOTS,13250.0,2,4,M \ H,85,48,83,80,96,94,1799,486,2276,Manchester City,Premier League,Portugal,187,82, High & Average
126,Alisson,95,GK,TOTS,96000.0,1,3,M \ M,94,93,90,96,91,96,2140,560,1099,Liverpool,Premier League,Brazil,191,91, Unique
127,Heung Min Son,95,LW,TOTS,15250.0,4,5,H \ H,95,95,91,94,50,79,2723,504,2422,Spurs,Premier League,Korea Republic,183,78, Unique
128,Erling Haaland,95,ST,TOTS,12000.0,3,4,H \ H,96,98,87,90,50,95,1027,516,2467,Dortmund,Bundesliga,Norway,194,94, Unique
129,Manuel Neuer,95,GK,TOTS,13000.0,1,4,M \ M,93,95,96,94,70,95,227,543,1188,FC Bayern,Bundesliga,Germany,193,93, Unique
130,Florian Wirtz,95,CAM,TOTS,300950.0,4,4,H \ M,93,91,95,97,66,82,1401,524,2508,Leverkusen,Bundesliga,Germany,176,70, Average
131,Éder Gabriel Militão,95,CB,TOTS,14000.0,2,3,M \ M,90,60,82,86,96,95,2856,509,2398,Real Madrid,LaLiga Santander,Brazil,186,78, Lean
132,Thibaut Courtois,95,GK,TOTS,14000.0,1,3,M \ M,92,95,82,94,70,93,1425,526,1019,Real Madrid,LaLiga Santander,Belgium,199,96, Courtois
133,João Félix Sequeira,95,CF,TOTS,15000.0,5,4,M \ M,95,91,91,98,52,82,2183,509,2462,Atlético de Madrid,LaLiga Santander,Portugal,181,72, Unique
134,Marquinhos,95,CB,TOTS,14500.0,3,3,M \ H,91,61,85,87,97,91,1793,512,2391,Paris SG,Ligue 1,Brazil,183,75, Average
135,Wissam Ben Yedder,95,ST,TOTS,14000.0,4,5,H \ L,96,96,91,98,50,82,1822,513,2500,AS Monaco,Ligue 1,France,170,68, Unique
136,Sandro Tonali,95,CDM,TOTS,12000.0,4,4,M \ H,95,87,96,94,90,94,2305,556,2646,Milan,Serie A TIM,Italy,181,79, Unique
137,Theo Hernández,95,LB,TOTS,13500.0,4,4,H \ H,99,85,90,93,92,94,2206,553,2617,Milan,Serie A TIM,France,184,81, Unique
138,Kalidou Koulibaly,95,CB,TOTS,14000.0,2,3,M \ H,91,36,75,83,97,96,1741,478,2180,Napoli,Serie A TIM,Senegal,187,89, Unique
140,Oscar dos Santos Emboaba,95,CAM,TOTS,468100.0,4,4,H \ M,93,93,96,94,70,85,559,531,2562,Shanghai SIPG,Chinese FA Super L. (CHN 1),Brazil,179,70, Lean
141,Carles Gil Pareja,95,CAM,TOTS,14750.0,5,4,H \ M,88,88,98,96,60,84,286,514,2482,New England,Major League Soccer,Spain,170,66, Short & Lean-
142,Alexandre Lacazette,95,ST,Premium SBC,32049.999999999996,4,4,H \ H,94,96,88,95,57,93,-790,523,2518,Arsenal,Premier League,France,176,73, Unique
143,Aubameyang,95,LW,ShapeShifters,14250.0,4,5,H \ L,99,95,90,93,44,83,1337,504,2455,FC Barcelona,LaLiga Santander,Gabon,187,80, Unique
144,Leonardo Spinazzola,95,CDM,ShapeShifters,192000.0,5,4,H \ M,99,84,90,95,92,90,2071,550,2577,Roma FC,Serie A TIM,Italy,186,75, High & Average+
145,Youcef Atal,95,CM,ShapeShifters,140450.0,4,5,H \ H,99,90,94,96,91,90,2194,560,2669,OGC Nice,Ligue 1,Algeria,175,66, Lean
146,Jack Grealish,95,CAM,ShapeShifters,278050.0,5,4,H \ M,95,93,95,97,54,83,1758,517,2420,Manchester City,Premier League,England,180,81, Unique
149,Silas Katompa Mvumpa,95,CF,ShapeShifters,63500.0,5,5,H \ M,98,94,92,95,67,84,1315,530,2491,VfB Stuttgart,Bundesliga,Congo DR,189,79, High & Average+
150,Stephan El Shaarawy,95,CAM,ShapeShifters,102000.0,5,4,H \ M,97,95,93,96,57,80,1564,518,2491,Roma FC,Serie A TIM,Italy,178,73, Lean
151,Adama Traoré Diarra,95,CF,ShapeShifters,72650.0,4,5,H \ L,99,94,91,95,50,93,1111,522,2430,FC Barcelona,LaLiga Santander,Spain,178,72, Unique
152,Mario Gomez,95,CB,Shapeshifters Hero,93800.0,4,4,M \ H,90,91,83,89,95,93,1384,541,2557,HERO,Serie A TIM,Germany,189,84, High & Average
153,Federico Valverde,95,RWB,ShapeShifters,106550.0,4,4,H \ H,98,86,91,92,93,93,2120,553,2597,Real Madrid,LaLiga Santander,Uruguay,182,78, Unique
154,Trent Alexander-Arnold,95,CM,Flashback SBC,91450.0,5,4,H \ H,94,88,96,93,93,90,2134,554,2656,Liverpool,Premier League,England,180,69, Unique
155,James Maddison,95,RW,ShapeShifters,215000.0,5,4,H \ M,94,92,96,97,70,80,842,529,2546,Leicester City,Premier League,England,175,73, Lean
156,Presnel Kimpembe,95,CDM,ShapeShifters SBC,999000.0,5,4,H \ H,92,90,93,93,94,95,687,557,2677,Paris SG,Ligue 1,France,189,80, High & Average
157,Matthijs de Ligt,95,CM,ShapeShifters,385000.0,4,4,H \ H,90,87,91,92,94,96,1021,550,2646,Piemonte Calcio,Serie A TIM,Netherlands,189,89, Unique
158,Kyle Walker,95,CB,ShapeShifters,310000.0,3,4,H \ H,99,74,90,91,92,95,-244,541,2563,Manchester City,Premier League,England,183,83, Unique
159,Rodrigo Javier De Paul,95,CM,Futties SBC,719000.0,4,5,H \ H,93,91,94,96,89,91,1602,554,2637,Atlético de Madrid,LaLiga Santander,Argentina,180,70, Average
160,Luis Díaz,95,LM,Premium Futties,999000.0,4,5,H \ M,99,95,91,96,45,87,2287,513,2423,Liverpool,Premier League,Colombia,180,73, Lean
161,Federico Chiesa,95,RW,Futties SBC,1580000.0,4,5,H \ M,99,94,90,96,57,86,1188,522,2438,Piemonte Calcio,Serie A TIM,Italy,175,70, Average
162,Djibril Sow,95,CM,Futties SBC,930000.0,4,5,H \ H,94,90,95,94,91,95,1559,559,2680,Frankfurt,Bundesliga,Switzerland,184,77, Lean
163,Jonathan David,95,ST,Futties SBC,89000.0,4,5,H \ H,97,95,89,93,40,91,2640,505,2409,LOSC,Ligue 1,Canada,177,77, Average
164,Duván Zapata,95,ST,Premium Futties,23000.0,5,5,H \ M,95,95,86,93,47,96,340,512,2446,Atalanta BC,Serie A TIM,Colombia,189,88, High & Average
165,Maxence Lacroix,95,CB,Futties SBC,95000.0,2,2,M \ H,96,49,77,81,94,93,1484,490,2237,VfL Wolfsburg,Bundesliga,France,190,88, High & Average
166,Alassane Plea,95,ST,Premium Futties SBC,95000.0,5,5,H \ M,95,97,91,95,50,90,447,518,2516,M'gladbach,Bundesliga,France,181,79, Average
167,Toni Kroos,95,CM,Futties,11750.0,5,5,H \ H,88,90,98,94,88,87,475,545,2612,Real Madrid,LaLiga Santander,Germany,183,76, Average
168,Antony,95,RW,Futties SBC,35500.0,5,4,H \ M,99,91,95,98,52,81,1238,516,2459,Ajax,Eredivisie,Brazil,174,63, Average
172,Ferenc Puskás,94,CF,Icon,675000.0,4,3,H \ M,91,96,91,92,46,76,1703,492,2396,FUT 22 ICONS,Icons,Hungary,172,72, Stocky
173,Johan Cruyff,94,CF,Icon,299000.0,5,5,H \ L,91,92,91,94,42,73,1574,483,2339,FUT 22 ICONS,Icons,Netherlands,180,71, Lean
174,Lev Yashin,94,GK,Icon,1030000.0,1,3,M \ M,95,89,75,96,60,95,728,510,1320,FUT 22 ICONS,Icons,Russia,189,82, High & Average
175,Mané Garrincha,94,RW,Icon,410000.0,5,4,M \ L,90,87,94,96,41,68,763,476,2301,FUT 22 ICONS,Icons,Brazil,169,72, Short & Lean-
176,Paolo Maldini,94,CB,Icon,911000.0,2,4,M \ H,86,56,75,69,96,83,923,465,2140,FUT 22 ICONS,Icons,Italy,186,83, Average
177,Ronaldinho,94,LW,Icon,618000.0,5,4,H \ L,92,90,91,95,37,81,1779,486,2328,FUT 22 ICONS,Icons,Brazil,180,78, Ronaldinho
178,Ronaldo,94,ST,Icon,408000.0,5,5,M \ L,93,93,80,93,46,80,2763,485,2321,FUT 22 ICONS,Icons,Brazil,183,82, R9
179,Zinedine Zidane,94,CAM,Icon,2060000.0,5,5,M \ M,82,90,93,92,72,83,923,512,2474,FUT 22 ICONS,Icons,France,185,82, High & Average
181,Mohamed Salah,94,RW,Headliners,870000.0,4,3,H \ M,95,93,90,95,51,84,1773,508,2434,Liverpool,Premier League,Egypt,175,71, Salah
182,Joshua Kimmich,94,CDM,Headliners,1970000.0,3,4,H \ M,78,80,91,89,89,86,1713,513,2480,FC Bayern,Bundesliga,Germany,177,75, Lean
